hidden_neurons,hidden_layers,activation,learning_rate,batch_size,num_epochs,dropout_prob,test_score
16,16,leaky_relu,0.0001,1024,20,0.4,-6.95E-07
4,8,leaky_relu,0.0001,512,20,0.1,-6.70E-07
4,16,leaky_relu,0.0001,512,20,0.3,-6.52E-07
8,16,leaky_relu,0.0001,512,20,0.2,-6.48E-07
4,16,leaky_relu,0.0001,512,20,0.5,-6.46E-07
8,16,leaky_relu,0.0001,1024,20,0.3,-6.09E-07
1,8,leaky_relu,0.0001,1024,20,0.3,-5.64E-07
2,8,leaky_relu,0.001,1024,20,0.3,-5.49E-07
4,16,leaky_relu,0.0001,512,20,0.1,-5.33E-07
4,8,leaky_relu,0.0001,512,20,0.4,-4.97E-07
1,16,leaky_relu,0.0001,1024,20,0.1,-4.86E-07
4,32,leaky_relu,0.0001,1024,20,0.2,-4.85E-07
2,16,leaky_relu,0.0001,1024,20,0.1,-4.75E-07
2,8,leaky_relu,0.0001,512,20,0.3,-4.05E-07
1,8,leaky_relu,0.0001,1024,20,0.5,-4.00E-07
4,32,leaky_relu,0.001,512,20,0.1,-3.96E-07
4,32,leaky_relu,0.0001,1024,20,0.1,-3.70E-07
2,16,leaky_relu,0.0001,512,20,0.3,-3.69E-07
2,16,leaky_relu,0.0001,512,20,0.5,-3.60E-07
1,16,leaky_relu,0.0001,512,20,0.5,-3.58E-07
2,32,leaky_relu,0.0001,1024,20,0.2,-3.41E-07
2,16,leaky_relu,0.0001,1024,20,0.5,-3.19E-07
4,16,leaky_relu,0.001,512,20,0.4,-3.03E-07
1,16,leaky_relu,0.0001,512,20,0.3,-2.86E-07
1,16,leaky_relu,0.0001,1024,20,0.5,-2.64E-07
8,32,leaky_relu,0.0001,1024,20,0.1,-2.52E-07
8,16,leaky_relu,0.0001,1024,20,0.4,-2.30E-07
2,8,leaky_relu,0.0001,1024,20,0.5,-2.25E-07
8,16,leaky_relu,0.0001,512,20,0.3,-2.22E-07
2,16,leaky_relu,0.0001,1024,20,0.4,-2.06E-07
8,32,leaky_relu,0.0001,1024,20,0.4,-2.05E-07
4,16,leaky_relu,0.001,512,20,0.5,-1.99E-07
2,8,leaky_relu,0.001,512,20,0.3,-1.88E-07
4,32,leaky_relu,0.0001,1024,20,0.4,-1.84E-07
8,16,leaky_relu,0.001,1024,20,0.4,-1.82E-07
1,16,leaky_relu,0.0001,512,20,0.2,-1.74E-07
1,8,leaky_relu,0.0001,1024,20,0.4,-1.69E-07
16,32,leaky_relu,0.0001,512,20,0.2,-1.64E-07
4,32,leaky_relu,0.0001,512,20,0.2,-1.62E-07
2,32,leaky_relu,0.0001,512,20,0.1,-1.49E-07
16,32,leaky_relu,0.001,512,20,0.4,-1.42E-07
16,32,leaky_relu,0.0001,1024,20,0.1,-1.29E-07
4,16,leaky_relu,0.001,1024,20,0.3,-1.25E-07
8,32,leaky_relu,0.0001,512,20,0.3,-1.09E-07
16,32,leaky_relu,0.0001,1024,20,0.5,-1.05E-07
2,8,leaky_relu,0.001,1024,20,0.5,-1.01E-07
4,32,leaky_relu,0.0001,512,20,0.3,-9.73E-08
1,32,leaky_relu,0.0001,1024,20,0.3,-9.67E-08
4,32,leaky_relu,0.0001,1024,20,0.3,-9.58E-08
4,16,leaky_relu,0.0001,1024,20,0.3,-8.94E-08
